,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
20,no holiday,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718
21,no holiday,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673
22,no holiday,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511
23,no holiday,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471
24,no holiday,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097
25,no holiday,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887
26,no holiday,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337
27,no holiday,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692
28,no holiday,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137
29,no holiday,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623
30,no holiday,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591
31,no holiday,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898
32,no holiday,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637
33,no holiday,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777
34,no holiday,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015
35,no holiday,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598
36,no holiday,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369
37,no holiday,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312
38,no holiday,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367
39,no holiday,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835
40,no holiday,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726
41,no holiday,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689
42,no holiday,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990
43,no holiday,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985
44,no holiday,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309
45,no holiday,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603
46,no holiday,291.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,4884
47,no holiday,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104
48,no holiday,296.38,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,5178
49,no holiday,297.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,5501
50,no holiday,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713
51,no holiday,298.06,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,6292
52,no holiday,297.67,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,6057
53,no holiday,296.36,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,4907
54,no holiday,293.85,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 19:00:00,3503
55,no holiday,292.43,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 20:00:00,3037
56,no holiday,291.77,0.0,0.0,75,Clouds,broken clouds,2012-10-04 21:00:00,2822
57,no holiday,291.36,0.0,0.0,75,Clouds,broken clouds,2012-10-04 22:00:00,1992
58,no holiday,291.12,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,1166
59,no holiday,290.63,0.0,0.0,75,Clouds,broken clouds,2012-10-05 00:00:00,627
60,no holiday,290.46,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 01:00:00,388
61,no holiday,289.26,0.0,0.0,0,Clear,sky is clear,2012-10-05 03:00:00,368
62,no holiday,283.21,0.0,0.0,75,Clouds,broken clouds,2012-10-05 05:00:00,2489
63,no holiday,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,5537
64,no holiday,281.69,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 07:00:00,6628
65,no holiday,280.57,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 08:00:00,5534
66,no holiday,280.02,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,5403
67,no holiday,280.11,0.0,0.0,75,Clouds,broken clouds,2012-10-05 10:00:00,4770
68,no holiday,280.0,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 11:00:00,5217
69,no holiday,280.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,5870
70,no holiday,281.43,0.0,0.0,75,Clouds,broken clouds,2012-10-05 13:00:00,5967
71,no holiday,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 14:00:00,6108
72,no holiday,281.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,6128
73,no holiday,281.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 16:00:00,6069
74,no holiday,281.42,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 17:00:00,6169
75,no holiday,280.87,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 18:00:00,5384
76,no holiday,280.15,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 19:00:00,4063
77,no holiday,279.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 20:00:00,3364
78,no holiday,279.65,0.0,0.0,75,Clouds,broken clouds,2012-10-05 21:00:00,2971
79,no holiday,279.22,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 22:00:00,2450
80,no holiday,279.06,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 23:00:00,1832
81,no holiday,278.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 00:00:00,1231
82,no holiday,278.55,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 01:00:00,718
83,no holiday,278.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 02:00:00,545
84,no holiday,276.99,0.0,0.0,75,Clouds,broken clouds,2012-10-06 04:00:00,411
85,no holiday,276.35,0.0,0.0,20,Clouds,few clouds,2012-10-06 05:00:00,688
86,no holiday,275.4,0.0,0.0,1,Clear,sky is clear,2012-10-06 06:00:00,1352
87,no holiday,275.17,0.0,0.0,1,Clear,sky is clear,2012-10-06 07:00:00,2072
88,no holiday,274.99,0.0,0.0,1,Clear,sky is clear,2012-10-06 08:00:00,3342
89,no holiday,275.09,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 09:00:00,4258
90,no holiday,276.88,0.0,0.0,20,Clouds,few clouds,2012-10-06 10:00:00,4861
91,no holiday,278.04,0.0,0.0,20,Clouds,few clouds,2012-10-06 11:00:00,5191
92,no holiday,279.08,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 12:00:00,5669
93,no holiday,280.12,0.0,0.0,75,Clouds,broken clouds,2012-10-06 13:00:00,5074
94,no holiday,280.25,0.0,0.0,75,Clouds,broken clouds,2012-10-06 14:00:00,5025
95,no holiday,280.0,0.0,0.0,75,Clouds,broken clouds,2012-10-06 15:00:00,5153
96,no holiday,279.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 16:00:00,5024
97,no holiday,278.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 17:00:00,4779
98,no holiday,278.39,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 18:00:00,4362
99,no holiday,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 19:00:00,3860
100,no holiday,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 20:00:00,3160
101,no holiday,277.93,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 21:00:00,2992
102,no holiday,276.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 22:00:00,3202
103,no holiday,276.34,0.0,0.0,75,Clouds,broken clouds,2012-10-06 23:00:00,1941
104,no holiday,276.11,0.0,0.0,75,Clouds,broken clouds,2012-10-07 00:00:00,1233
105,no holiday,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 03:00:00,323
106,no holiday,275.65,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 04:00:00,312
107,no holiday,275.51,0.0,0.0,75,Clouds,broken clouds,2012-10-07 05:00:00,627
108,no holiday,275.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 06:00:00,1508
109,no holiday,274.77,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 07:00:00,1539
110,no holiday,274.77,0.0,0.0,75,Clouds,broken clouds,2012-10-07 08:00:00,2232
111,no holiday,275.55,0.0,0.0,75,Clouds,broken clouds,2012-10-07 09:00:00,4568
112,no holiday,276.24,0.0,0.0,75,Clouds,broken clouds,2012-10-07 10:00:00,4624
113,no holiday,277.01,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 11:00:00,4529
114,no holiday,277.43,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 12:00:00,5139
115,no holiday,278.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 13:00:00,6640
116,no holiday,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 14:00:00,6589
117,no holiday,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 15:00:00,4429
118,no holiday,279.44,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 16:00:00,4329
119,no holiday,279.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 17:00:00,3833
120,no holiday,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 18:00:00,4015
121,no holiday,278.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 19:00:00,3382
122,no holiday,276.79,0.0,0.0,75,Clouds,broken clouds,2012-10-07 20:00:00,2815
123,no holiday,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 21:00:00,2110
124,no holiday,274.88,0.0,0.0,75,Clouds,broken clouds,2012-10-07 22:00:00,1555
125,no holiday,273.92,0.0,0.0,20,Clouds,few clouds,2012-10-07 23:00:00,959
126,yes holiday,273.08,0.0,0.0,20,Clouds,few clouds,2012-10-08 00:00:00,455
127,no holiday,272.62,0.0,0.0,20,Clouds,few clouds,2012-10-08 01:00:00,336
128,no holiday,271.78,0.0,0.0,1,Clear,sky is clear,2012-10-08 02:00:00,265
129,no holiday,271.05,0.0,0.0,1,Clear,sky is clear,2012-10-08 03:00:00,314
130,no holiday,270.63,0.0,0.0,1,Clear,sky is clear,2012-10-08 04:00:00,779
131,no holiday,270.33,0.0,0.0,1,Clear,sky is clear,2012-10-08 05:00:00,2571
132,no holiday,269.61,0.0,0.0,20,Clouds,few clouds,2012-10-08 06:00:00,5563
133,no holiday,270.01,0.0,0.0,20,Clouds,few clouds,2012-10-08 07:00:00,6676
134,no holiday,271.23,0.0,0.0,20,Clouds,few clouds,2012-10-08 08:00:00,5966
135,no holiday,273.71,0.0,0.0,20,Clouds,few clouds,2012-10-08 09:00:00,4832
136,no holiday,276.77,0.0,0.0,20,Clouds,few clouds,2012-10-08 10:00:00,4395
137,no holiday,279.47,0.0,0.0,20,Clouds,few clouds,2012-10-08 11:00:00,4411
138,no holiday,279.84,0.0,0.0,1,Clear,sky is clear,2012-10-08 12:00:00,4648
139,no holiday,282.34,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 13:00:00,4602
140,no holiday,282.94,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 14:00:00,5125
141,no holiday,283.48,0.0,0.0,1,Clear,sky is clear,2012-10-08 15:00:00,5502
142,no holiday,284.33,0.0,0.0,1,Clear,sky is clear,2012-10-08 16:00:00,5979
143,no holiday,284.48,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 17:00:00,5663
144,no holiday,284.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 18:00:00,4259
145,no holiday,281.99,0.0,0.0,20,Clouds,few clouds,2012-10-08 19:00:00,3069
146,no holiday,279.81,0.0,0.0,1,Clear,sky is clear,2012-10-08 20:00:00,2378
147,no holiday,279.35,0.0,0.0,1,Clear,sky is clear,2012-10-08 21:00:00,2030
148,no holiday,278.9,0.0,0.0,1,Clear,sky is clear,2012-10-08 22:00:00,1400
149,no holiday,278.46,0.0,0.0,1,Clear,sky is clear,2012-10-08 23:00:00,917
150,no holiday,277.78,0.0,0.0,1,Clear,sky is clear,2012-10-09 00:00:00,515
151,no holiday,277.27,0.0,0.0,1,Clear,sky is clear,2012-10-09 01:00:00,302
152,no holiday,277.47,0.0,0.0,1,Clear,sky is clear,2012-10-09 02:00:00,251
153,no holiday,276.97,0.0,0.0,20,Clouds,few clouds,2012-10-09 04:00:00,798
154,no holiday,276.52,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 05:00:00,2678
155,no holiday,276.6,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 06:00:00,5733
156,no holiday,277.31,0.0,0.0,75,Clouds,broken clouds,2012-10-09 07:00:00,6449
157,no holiday,278.38,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 08:00:00,5765
158,no holiday,279.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 09:00:00,5599
159,no holiday,281.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 10:00:00,4534
160,no holiday,283.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 11:00:00,4691
161,no holiday,284.08,0.0,0.0,75,Clouds,broken clouds,2012-10-09 12:00:00,5067
162,no holiday,285.14,0.0,0.0,75,Clouds,broken clouds,2012-10-09 13:00:00,5030
163,no holiday,286.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 14:00:00,5300
164,no holiday,287.23,0.0,0.0,100,Rain,light rain,2012-10-09 15:00:00,5777
165,no holiday,288.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 16:00:00,6349
166,no holiday,290.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 17:00:00,6127
167,no holiday,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 18:00:00,4460
168,no holiday,288.86,0.0,0.0,75,Clouds,broken clouds,2012-10-09 19:00:00,3418
169,no holiday,287.36,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 20:00:00,2775
170,no holiday,285.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 21:00:00,2306
171,no holiday,283.46,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 22:00:00,1846
172,no holiday,282.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 23:00:00,947
173,no holiday,281.88,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 00:00:00,494
174,no holiday,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 01:00:00,332
175,no holiday,281.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 02:00:00,261
176,no holiday,281.17,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 03:00:00,361
177,no holiday,281.25,0.0,0.0,92,Clear,sky is clear,2012-10-10 06:00:00,5875
178,no holiday,281.25,0.0,0.0,99,Rain,light rain,2012-10-10 07:00:00,6793
179,no holiday,281.25,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 07:00:00,6793
180,no holiday,280.1,0.0,0.0,99,Rain,light rain,2012-10-10 08:00:00,6283
181,no holiday,280.1,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 08:00:00,6283
182,no holiday,279.61,0.0,0.0,99,Rain,light rain,2012-10-10 09:00:00,5680
183,no holiday,279.61,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 09:00:00,5680
184,no holiday,279.67,0.0,0.0,99,Clear,sky is clear,2012-10-10 10:00:00,4632
185,no holiday,280.19,0.0,0.0,1,Clear,sky is clear,2012-10-10 11:00:00,4887
186,no holiday,282.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 12:00:00,5030
187,no holiday,282.26,0.0,0.0,75,Clouds,broken clouds,2012-10-10 13:00:00,5067
188,no holiday,282.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 14:00:00,5227
189,no holiday,281.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 15:00:00,5610
190,no holiday,281.23,0.0,0.0,81,Clear,sky is clear,2012-10-10 16:00:00,6286
191,no holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 18:00:00,4775
192,no holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 19:00:00,3340
193,no holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 20:00:00,3013
194,no holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 21:00:00,2603
195,no holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 22:00:00,1910
196,no holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 23:00:00,1037
197,no holiday,273.9,0.0,0.0,1,Clear,sky is clear,2012-10-11 01:00:00,347
198,no holiday,274.4,0.0,0.0,75,Clouds,broken clouds,2012-10-11 03:00:00,350
199,no holiday,274.05,0.0,0.0,75,Clouds,broken clouds,2012-10-11 04:00:00,850
200,no holiday,273.71,0.0,0.0,40,Clouds,scattered clouds,2012-10-11 05:00:00,2791
201,no holiday,272.66,0.0,0.0,1,Clear,sky is clear,2012-10-11 06:00:00,5809
202,no holiday,272.65,0.0,0.0,1,Clear,sky is clear,2012-10-11 07:00:00,6798
203,no holiday,272.52,0.0,0.0,1,Clear,sky is clear,2012-10-11 08:00:00,6304
204,no holiday,275.19,0.0,0.0,20,Clouds,few clouds,2012-10-11 09:00:00,5291
205,no holiday,275.34,0.0,0.0,1,Clear,sky is clear,2012-10-11 10:00:00,4638
206,no holiday,284.1,0.0,0.0,50,Clear,sky is clear,2012-10-11 14:00:00,5557
207,no holiday,284.1,0.0,0.0,50,Clear,sky is clear,2012-10-11 15:00:00,5818
208,no holiday,283.78,0.0,0.0,75,Clouds,broken clouds,2012-10-11 16:00:00,6272
209,no holiday,283.52,0.0,0.0,75,Clouds,broken clouds,2012-10-11 17:00:00,5944
210,no holiday,283.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 18:00:00,4949
211,no holiday,282.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 19:00:00,3511
212,no holiday,281.95,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 20:00:00,3039
213,no holiday,281.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 21:00:00,2679
214,no holiday,282.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 22:00:00,2094
215,no holiday,282.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 23:00:00,1284
216,no holiday,283.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 00:00:00,630
217,no holiday,284.64,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 01:00:00,410
218,no holiday,284.61,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 02:00:00,331
219,no holiday,283.18,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12 03:00:00,372
220,no holiday,282.26,0.0,0.0,72,Rain,light rain,2012-10-12 04:00:00,739
221,no holiday,280.77,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12 05:00:00,2561
222,no holiday,278.53,0.0,0.0,75,Clouds,broken clouds,2012-10-12 06:00:00,5586
223,no holiday,277.64,0.0,0.0,75,Clouds,broken clouds,2012-10-12 07:00:00,6992
224,no holiday,277.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 08:00:00,5860
225,no holiday,278.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 09:00:00,5230
226,no holiday,279.29,0.0,0.0,75,Clouds,broken clouds,2012-10-12 10:00:00,4864
227,no holiday,280.45,0.0,0.0,75,Clouds,broken clouds,2012-10-12 11:00:00,5146
228,no holiday,280.95,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 12:00:00,5526
229,no holiday,281.74,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 13:00:00,5383
230,no holiday,281.84,0.0,0.0,75,Clouds,broken clouds,2012-10-12 14:00:00,5758
231,no holiday,282.45,0.0,0.0,75,Clouds,broken clouds,2012-10-12 15:00:00,5889
232,no holiday,282.2,0.0,0.0,75,Clouds,broken clouds,2012-10-12 16:00:00,6057
233,no holiday,281.54,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 17:00:00,6028
234,no holiday,280.21,0.0,0.0,20,Clouds,few clouds,2012-10-12 18:00:00,5257
235,no holiday,282.2,0.0,0.0,56,Clear,sky is clear,2012-10-12 23:00:00,1897
236,no holiday,272.58,0.0,0.0,1,Clear,sky is clear,2012-10-13 00:00:00,1335
237,no holiday,272.06,0.0,0.0,1,Clear,sky is clear,2012-10-13 01:00:00,769
238,no holiday,270.99,0.0,0.0,1,Clear,sky is clear,2012-10-13 02:00:00,570
239,no holiday,270.29,0.0,0.0,20,Clouds,few clouds,2012-10-13 03:00:00,413
240,no holiday,269.48,0.0,0.0,1,Clear,sky is clear,2012-10-13 04:00:00,399
241,no holiday,269.27,0.0,0.0,1,Clear,sky is clear,2012-10-13 05:00:00,740
242,no holiday,268.91,0.0,0.0,1,Clear,sky is clear,2012-10-13 06:00:00,1420
243,no holiday,268.98,0.0,0.0,75,Clouds,broken clouds,2012-10-13 07:00:00,2220
244,no holiday,269.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-13 08:00:00,3479
245,no holiday,272.61,0.0,0.0,40,Clouds,scattered clouds,2012-10-13 09:00:00,4546
246,no holiday,276.78,0.0,0.0,20,Clouds,few clouds,2012-10-13 10:00:00,4579
247,no holiday,279.22,0.0,0.0,1,Clear,sky is clear,2012-10-13 11:00:00,4438
248,no holiday,280.35,0.0,0.0,1,Clear,sky is clear,2012-10-13 12:00:00,4623
249,no holiday,281.81,0.0,0.0,1,Clear,sky is clear,2012-10-13 13:00:00,4440
250,no holiday,283.05,0.0,0.0,1,Clear,sky is clear,2012-10-13 14:00:00,4495
251,no holiday,283.96,0.0,0.0,1,Clear,sky is clear,2012-10-13 15:00:00,4483
252,no holiday,284.53,0.0,0.0,1,Clear,sky is clear,2012-10-13 16:00:00,4591
253,no holiday,284.44,0.0,0.0,1,Clear,sky is clear,2012-10-13 17:00:00,4477
254,no holiday,283.64,0.0,0.0,1,Clear,sky is clear,2012-10-13 18:00:00,4221
255,no holiday,281.85,0.0,0.0,20,Clouds,few clouds,2012-10-13 19:00:00,3672
256,no holiday,281.38,0.0,0.0,1,Clear,sky is clear,2012-10-13 20:00:00,3015
257,no holiday,281.84,0.0,0.0,75,Clouds,broken clouds,2012-10-13 21:00:00,2769
258,no holiday,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-13 22:00:00,2875
259,no holiday,282.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-13 23:00:00,1931
260,no holiday,282.49,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 00:00:00,1309
261,no holiday,282.54,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 01:00:00,870
262,no holiday,282.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 02:00:00,654
263,no holiday,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 03:00:00,364
264,no holiday,282.08,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 04:00:00,262
265,no holiday,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 05:00:00,505
266,no holiday,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 06:00:00,861
267,no holiday,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 07:00:00,1132
268,no holiday,282.24,0.0,0.0,57,Mist,mist,2012-10-14 08:00:00,1797
269,no holiday,282.43,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 09:00:00,2685
270,no holiday,282.43,0.0,0.0,57,Mist,mist,2012-10-14 09:00:00,2685
271,no holiday,282.43,0.0,0.0,57,Haze,haze,2012-10-14 09:00:00,2685
272,no holiday,282.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 10:00:00,3370
273,no holiday,282.33,0.0,0.0,57,Mist,mist,2012-10-14 10:00:00,3370
274,no holiday,282.82,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 11:00:00,3662
275,no holiday,282.82,0.0,0.0,57,Mist,mist,2012-10-14 11:00:00,3662
276,no holiday,283.33,0.0,0.0,57,Mist,mist,2012-10-14 12:00:00,4076
277,no holiday,283.33,0.0,0.0,57,Rain,light rain,2012-10-14 12:00:00,4076
278,no holiday,283.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 12:00:00,4076
279,no holiday,283.75,0.0,0.0,93,Rain,light rain,2012-10-14 13:00:00,4128
280,no holiday,283.75,0.0,0.0,93,Mist,mist,2012-10-14 13:00:00,4128
281,no holiday,283.75,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14 13:00:00,4128
282,no holiday,284.09,0.0,0.0,93,Mist,mist,2012-10-14 14:00:00,4358
283,no holiday,284.09,0.0,0.0,93,Rain,light rain,2012-10-14 14:00:00,4358
284,no holiday,284.09,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14 14:00:00,4358
285,no holiday,284.55,0.0,0.0,93,Mist,mist,2012-10-14 15:00:00,4342
286,no holiday,284.55,0.0,0.0,93,Rain,light rain,2012-10-14 15:00:00,4342
287,no holiday,284.68,0.0,0.0,93,Mist,mist,2012-10-14 16:00:00,4234
288,no holiday,284.64,0.0,0.0,93,Rain,light rain,2012-10-14 17:00:00,4271
289,no holiday,284.64,0.0,0.0,93,Mist,mist,2012-10-14 17:00:00,4271
290,no holiday,284.4,0.0,0.0,93,Mist,mist,2012-10-14 18:00:00,4080
291,no holiday,284.17,0.0,0.0,93,Mist,mist,2012-10-14 19:00:00,3453
